,room,room_type,campus
205,А-342,ауд,"ул. Малая Пироговская, д.1"
206,А-343,ауд,"ул. Малая Пироговская, д.1"
207,А-344,ауд,"ул. Малая Пироговская, д.1"
208,А-345,ауд,"ул. Малая Пироговская, д.1"
209,А-346,ауд,"ул. Малая Пироговская, д.1"
210,А-4,ауд,"Проспект Вернадского, д.78"
211,А-400,ауд,"ул. Малая Пироговская, д.1"
212,А-401,ауд,"Проспект Вернадского, д.78"
213,А-401,ауд,"ул. Малая Пироговская, д.1"
214,А-403,ауд,"Проспект Вернадского, д.78"
215,А-405,ауд,"Проспект Вернадского, д.78"
216,А-407,ауд,"Проспект Вернадского, д.78"
217,А-409,ауд,"Проспект Вернадского, д.78"
218,А-411,ауд,"Проспект Вернадского, д.78"
219,А-418,комп,"Проспект Вернадского, д.78"
220,А-421,комп,"Проспект Вернадского, д.78"
221,А-422,комп,"Проспект Вернадского, д.78"
222,А-423,комп,"Проспект Вернадского, д.78"
223,А-424-1,комп,"Проспект Вернадского, д.78"
224,А-424-2,комп,"Проспект Вернадского, д.78"
225,А-424-3,комп,"Проспект Вернадского, д.78"
226,А-425,ауд,"Проспект Вернадского, д.78"
227,А-427,,"Проспект Вернадского, д.78"
228,А-427,ауд,"Проспект Вернадского, д.78"
229,А-429,ауд,"Проспект Вернадского, д.78"
230,А-5,ауд,"Проспект Вернадского, д.78"
231,А-6,ауд,"Проспект Вернадского, д.78"
232,А-61,,"ул. Малая Пироговская, д.1"
233,А-61,ауд,"ул. Малая Пироговская, д.1"
234,А-61А-342,,"ул. Малая Пироговская, д.1"
235,А-61С-20329,,"ул. Малая Пироговская, д.1"
236,А-63,ауд,"ул. Малая Пироговская, д.1"
237,А-7,ауд,"Проспект Вернадского, д.78"
238,А-8,,
239,А-8,ауд,"Проспект Вернадского, д.78"
240,А-9,ауд,"Проспект Вернадского, д.78"
241,А-9а,ауд,"Проспект Вернадского, д.78"
242,Б-105,ауд,"Проспект Вернадского, д.78"
243,Б-105,,"Проспект Вернадского, д.78"
244,Б-115,ауд,"Проспект Вернадского, д.78"
245,Б-208,лаб,"Проспект Вернадского, д.78"
246,Б-209-1,ауд,"Проспект Вернадского, д.78"
